step,loss,crop_size,lr,elapsed_sec
100,2.322757,256,1.00e-05,73.9
200,0.730654,256,2.00e-05,135.6
300,0.338254,256,3.00e-05,197.3
400,0.293163,512,4.00e-05,258.4
500,0.223964,512,5.00e-05,319.3
600,0.205743,256,6.00e-05,380.4
700,0.173443,512,7.00e-05,441.5
800,0.158608,256,8.00e-05,502.6
900,0.133334,512,9.00e-05,589.4
1000,0.166485,512,1.00e-04,697.5
