step,loss,crop_size,lr,elapsed_sec
100,2.395750,512,1.00e-05,42.6
200,0.710186,128,2.00e-05,85.9
300,0.371704,512,3.00e-05,130.4
400,0.329576,128,4.00e-05,228.9
500,0.234327,256,5.00e-05,329.1
600,0.217935,512,6.00e-05,417.8
700,0.188607,512,7.00e-05,515.6
800,0.178992,256,8.00e-05,605.3
900,0.157679,128,9.00e-05,698.8
1000,0.174537,512,1.00e-04,792.2
1100,0.162174,512,1.00e-04,881.3
1200,0.127894,512,1.00e-04,926.0
1300,0.137881,128,1.00e-04,970.8
1400,0.211854,512,1.00e-04,1015.9
1500,0.129438,256,1.00e-04,1061.0
1600,0.131904,128,1.00e-04,1106.3
1700,0.111522,256,1.00e-04,1151.4
1800,0.114701,128,1.00e-04,1196.5
1900,0.100689,512,1.00e-04,1241.3
2000,0.117386,512,1.00e-04,1286.2
2100,0.105813,128,1.00e-04,1331.3
2200,0.114006,256,1.00e-04,1376.9
